minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2,opponent,game_id
90+5,Diego Carlos,Aston Villa,0.21,0.24,Saved,2.0,Head,,Douglas Luiz,Pass (Dead),Douglas Luiz,Shot,Newcastle Utd,8ff2f8fe
9.0,William Osula,Sheffield Utd,0.02,,Blocked,23.0,Left Foot,,nan,nan,nan,nan,Crystal Palace,55fd92c7
14.0,Odsonne Edouard,Crystal Palace,0.04,,Blocked,12.0,Left Foot,,Odsonne Édouard,Take-On,Cheick Doucouré,Pass (Live),Sheffield Utd,55fd92c7
17.0,Eberechi Eze,Crystal Palace,0.02,,Blocked,30.0,Left Foot,,Cheick Doucouré,Pass (Live),Jefferson Lerma,Pass (Live),Sheffield Utd,55fd92c7
17.0,Eberechi Eze,Crystal Palace,0.11,,Blocked,12.0,Right Foot,,Eberechi Eze,Shot,nan,nan,Sheffield Utd,55fd92c7
20.0,Odsonne Edouard,Crystal Palace,0.06,0.43,Saved,16.0,Right Foot,,Joachim Andersen,Pass (Live),Jefferson Lerma,Pass (Live),Sheffield Utd,55fd92c7
22.0,Joachim Andersen,Crystal Palace,0.02,0.19,Saved,36.0,Right Foot,,Cheick Doucouré,Pass (Live),Tyrick Mitchell,Pass (Dead),Sheffield Utd,55fd92c7
24.0,Odsonne Edouard,Crystal Palace,0.03,,Off Target,16.0,Right Foot,Volley,Eberechi Eze,Pass (Dead),Eberechi Eze,Pass (Live),Sheffield Utd,55fd92c7
27.0,John Egan,Sheffield Utd,0.04,,Off Target,10.0,Head,,Oliver Norwood,Pass (Dead),Oliver Norwood,Pass (Live),Crystal Palace,55fd92c7
29.0,Jeffrey Schlupp,Crystal Palace,0.02,,Off Target,29.0,Left Foot,,Marc Guéhi,Pass (Live),Joachim Andersen,Pass (Live),Sheffield Utd,55fd92c7
30.0,Cheick Doucoure,Crystal Palace,0.01,0.19,Saved,32.0,Right Foot,"Deflected, Volley",Jeffrey Schlupp,Shot,nan,nan,Sheffield Utd,55fd92c7
31.0,Eberechi Eze,Crystal Palace,0.06,,Blocked,17.0,Right Foot,,Odsonne Édouard,Pass (Live),Joachim Andersen,Pass (Live),Sheffield Utd,55fd92c7
31.0,Jordan Ayew,Crystal Palace,0.06,,Blocked,16.0,Right Foot,,Cheick Doucouré,Pass (Live),Eberechi Eze,Shot,Sheffield Utd,55fd92c7
32.0,Marc Guehi,Crystal Palace,0.03,,Off Target,12.0,Head,,Eberechi Eze,Pass (Dead),Jordan Ayew,Shot,Sheffield Utd,55fd92c7
32.0,Odsonne Edouard,Crystal Palace,0.05,,Off Target,5.0,Head,,Marc Guéhi,Shot,nan,nan,Sheffield Utd,55fd92c7
34.0,Anel Ahmedhodzic,Sheffield Utd,0.04,,Off Target,10.0,Head,,Oliver Norwood,Pass (Dead),George Baldock,Take-On,Crystal Palace,55fd92c7
39.0,Eberechi Eze,Crystal Palace,0.0,,Blocked,34.0,Right Foot,,Jefferson Lerma,Pass (Live),Eberechi Eze,Pass (Dead),Sheffield Utd,55fd92c7
44.0,Oliver Norwood,Sheffield Utd,0.02,0.05,Saved,34.0,Right Foot,,Max Lowe,Pass (Live),Anel Ahmedhodžić,Pass (Live),Crystal Palace,55fd92c7
45.0,Eberechi Eze,Crystal Palace,0.03,,Off Target,18.0,Left Foot,,Jeffrey Schlupp,Pass (Live),Joachim Andersen,Pass (Live),Sheffield Utd,55fd92c7
49.0,Odsonne Edouard,Crystal Palace,0.64,0.81,Goal,4.0,Left Foot,Volley,Jordan Ayew,Pass (Live),Jefferson Lerma,Pass (Live),Sheffield Utd,55fd92c7
54.0,Eberechi Eze,Crystal Palace,0.03,,Blocked,30.0,Right Foot,Free kick,Eberechi Eze,Fouled,Odsonne Édouard,Pass (Live),Sheffield Utd,55fd92c7
60.0,Odsonne Edouard,Crystal Palace,0.01,,Off Target,16.0,Head,,Jeffrey Schlupp,Pass (Live),Eberechi Eze,Pass (Dead),Sheffield Utd,55fd92c7
61.0,Odsonne Edouard,Crystal Palace,0.18,0.07,Saved,7.0,Head,,Eberechi Eze,Pass (Dead),Jordan Ayew,Fouled,Sheffield Utd,55fd92c7
62.0,Ben Osborn,Sheffield Utd,0.12,,Blocked,13.0,Right Foot,,Bénie Adama Traore,Pass (Live),Oliver Norwood,Pass (Live),Crystal Palace,55fd92c7
72.0,Jeffrey Schlupp,Crystal Palace,0.06,0.07,Saved,13.0,Left Foot,,Eberechi Eze,Pass (Live),Jeffrey Schlupp,Pass (Live),Sheffield Utd,55fd92c7
74.0,Anel Ahmedhodzic,Sheffield Utd,0.02,,Blocked,25.0,Right Foot,,nan,nan,nan,nan,Crystal Palace,55fd92c7
75.0,Eberechi Eze,Crystal Palace,0.17,,Blocked,17.0,Right Foot,,Odsonne Édouard,Pass (Live),Jefferson Lerma,Take-On,Sheffield Utd,55fd92c7
75.0,William Osula,Sheffield Utd,0.22,,Off Target,16.0,Right Foot,,Bénie Adama Traore,Pass (Live),Wes Foderingham,Pass (Live),Crystal Palace,55fd92c7
76.0,Jordan Ayew,Crystal Palace,0.03,0.02,Saved,15.0,Right Foot,,Joachim Andersen,Pass (Live),Marc Guéhi,Pass (Live),Sheffield Utd,55fd92c7
80.0,Jefferson Lerma,Crystal Palace,0.02,,Off Target,37.0,Right Foot,,Eberechi Eze,Pass (Live),Odsonne Édouard,Tackle,Sheffield Utd,55fd92c7
84.0,Eberechi Eze,Crystal Palace,0.07,,Off Target,15.0,Right Foot,,Jordan Ayew,Pass (Live),nan,nan,Sheffield Utd,55fd92c7
86.0,Joachim Andersen,Crystal Palace,0.13,0.14,Saved,6.0,Head,,Eberechi Eze,Pass (Dead),Eberechi Eze,Fouled,Sheffield Utd,55fd92c7
88.0,Oliver Norwood,Sheffield Utd,0.02,,Off Target,24.0,Right Foot,,Vinicius Souza,Pass (Live),George Baldock,Pass (Dead),Crystal Palace,55fd92c7
9,Dejan Kulusevski,Tottenham,0.01,,Blocked,18.0,Left Foot,,nan,nan,nan,nan,Brentford,67ed3ba2
9,Micky van de Ven,Tottenham,0.01,,Off Target,17.0,Head,,Dejan Kulusevski,Shot,nan,nan,Brentford,67ed3ba2
11,Cristian Romero,Tottenham,0.58,0.62,Goal,5.0,Head,,James Maddison,Pass (Dead),James Maddison,Fouled,Brentford,67ed3ba2
16,Bryan Mbeumo,Brentford,0.05,0.09,Saved,12.0,Left Foot,,Yoane Wissa,Pass (Live),Kristoffer Ajer,Pass (Live),Tottenham,67ed3ba2
17,Aaron Hickey,Brentford,0.03,,Blocked,27.0,Left Foot,,Vitaly Janelt,Pass (Live),Mathias Jensen,Pass (Live),Tottenham,67ed3ba2
18,Yoane Wissa,Brentford,0.08,0.07,Saved,16.0,Right Foot,Volley,Aaron Hickey,Pass (Live),Nathan Collins,Pass (Live),Tottenham,67ed3ba2
27,Bryan Mbeumo (pen),Brentford,0.79,0.99,Goal,13.0,Left Foot,,Mathias Jensen,Fouled,Bryan Mbeumo,Pass (Live),Tottenham,67ed3ba2
28,Yves Bissouma,Tottenham,0.01,,Off Target,58.0,Right Foot,,nan,nan,nan,nan,Brentford,67ed3ba2
31,Yoane Wissa,Brentford,0.05,,Blocked,12.0,Right Foot,,Vitaly Janelt,Pass (Live),nan,nan,Tottenham,67ed3ba2
36,Yoane Wissa,Brentford,0.17,0.08,Goal,14.0,Left Foot,Deflected,Rico Henry,Pass (Live),Rico Henry,Take-On,Tottenham,67ed3ba2
42,Yves Bissouma,Tottenham,0.02,,Blocked,33.0,Right Foot,Deflected,James Maddison,Pass (Live),Son Heung-min,Pass (Live),Brentford,67ed3ba2
44,Yves Bissouma,Tottenham,0.01,,Blocked,34.0,Right Foot,,Destiny Udogie,Pass (Live),Destiny Udogie,Pass (Live),Brentford,67ed3ba2
45+3,Son Heung-min,Tottenham,0.02,,Off Target,9.0,Left Foot,Volley,Yves Bissouma,Pass (Live),nan,nan,Brentford,67ed3ba2
45+4,Emerson,Tottenham,0.03,0.24,Goal,25.0,Right Foot,,James Maddison,Pass (Live),Destiny Udogie,Pass (Live),Brentford,67ed3ba2
45+10,Bryan Mbeumo,Brentford,0.56,,Off Target,8.0,Right Foot,,Rico Henry,Pass (Live),Christian Nørgaard,Pass (Live),Tottenham,67ed3ba2
47,James Maddison,Tottenham,0.05,0.02,Saved,19.0,Left Foot,,Dejan Kulusevski,Pass (Live),James Maddison,Pass (Live),Brentford,67ed3ba2
52,Davinson Sanchez,Tottenham,0.12,,Off Target,9.0,Head,,James Maddison,Pass (Dead),Richarlison,Take-On,Brentford,67ed3ba2
53,Dejan Kulusevski,Tottenham,0.01,,Off Target,15.0,Left Foot,Volley,Davinson Sánchez,Shot,nan,nan,Brentford,67ed3ba2
58,Vitaly Janelt,Brentford,0.04,0.39,Saved,20.0,Left Foot,,Yoane Wissa,Pass (Live),Christian Nørgaard,Pass (Live),Tottenham,67ed3ba2
58,Mikkel Damsgaard,Brentford,0.07,0.12,Saved,17.0,Right Foot,,Vitaly Janelt,Shot,nan,nan,Tottenham,67ed3ba2
60,Dejan Kulusevski,Tottenham,0.02,,Blocked,24.0,Left Foot,,Dejan Kulusevski,Pass (Live),Dejan Kulusevski,Take-On,Brentford,67ed3ba2
60,Son Heung-min,Tottenham,0.08,0.13,Saved,11.0,Left Foot,,Dejan Kulusevski,Shot,nan,nan,Brentford,67ed3ba2
60,Micky van de Ven,Tottenham,0.02,,Off Target,18.0,Left Foot,Volley,Son Heung-min,Shot,nan,nan,Brentford,67ed3ba2
61,James Maddison,Tottenham,0.02,,Blocked,22.0,Right Foot,,Yves Bissouma,Pass (Live),Emerson,Pass (Live),Brentford,67ed3ba2
64,Richarlison,Tottenham,0.09,0.06,Saved,12.0,Right Foot,,James Maddison,Pass (Live),Yves Bissouma,Pass (Live),Brentford,67ed3ba2
83,Pape Matar Sarr,Tottenham,0.09,0.04,Saved,9.0,Head,,Ivan Perišić,Pass (Live),Destiny Udogie,Pass (Live),Brentford,67ed3ba2
86,Mads Roerslev,Brentford,0.03,,Blocked,22.0,Right Foot,,nan,nan,nan,nan,Tottenham,67ed3ba2
87,Kevin Schade,Brentford,0.35,,Off Target,18.0,Right Foot,,Mathias Jørgensen,Pass (Live),Vitaly Janelt,Pass (Live),Tottenham,67ed3ba2
89,Richarlison,Tottenham,0.09,,Blocked,15.0,Right Foot,,James Maddison,Pass (Live),Ivan Perišić,Pass (Live),Brentford,67ed3ba2
2,Diogo Jota,Liverpool,0.02,,Off Target,15.0,Head,,Alexis Mac Allister,Pass (Live),Mohamed Salah,Pass (Live),Chelsea,c18d3207
6,Diogo Jota,Liverpool,0.05,,Off Target,15.0,Right Foot,,Mohamed Salah,Pass (Live),Diogo Jota,Pass (Live),Chelsea,c18d3207
11,Enzo Fernandez,Chelsea,0.06,,Blocked,13.0,Right Foot,,Raheem Sterling,Pass (Live),Enzo Fernández,Pass (Live),Liverpool,c18d3207
12,Mohamed Salah,Liverpool,0.08,,Woodwork,21.0,Right Foot,,Cody Gakpo,Pass (Live),Luis Díaz,Pass (Live),Chelsea,c18d3207
16,Nicolas Jackson,Chelsea,0.13,0.23,Saved,8.0,Right Foot,,Reece James,Pass (Live),Raheem Sterling,Pass (Live),Liverpool,c18d3207
18,Luis Diaz,Liverpool,0.51,0.8,Goal,11.0,Left Foot,,Mohamed Salah,Pass (Live),Alexis Mac Allister,Pass (Live),Chelsea,c18d3207
24,Nicolas Jackson,Chelsea,0.04,,Off Target,14.0,Left Foot,,Levi Colwill,Pass (Live),Levi Colwill,Take-On,Liverpool,c18d3207
26,Mohamed Salah,Liverpool,0.17,,Blocked,17.0,Left Foot,,Luis Díaz,Pass (Live),Andrew Robertson,Pass (Dead),Chelsea,c18d3207
37,Axel Disasi,Chelsea,0.41,0.86,Goal,6.0,Right Foot,,Ben Chilwell,Pass (Live),Raheem Sterling,Pass (Live),Liverpool,c18d3207
41,Mohamed Salah,Liverpool,0.03,,Off Target,17.0,Left Foot,,Cody Gakpo,Pass (Live),Diogo Jota,Pass (Live),Chelsea,c18d3207
43,Nicolas Jackson,Chelsea,0.13,,Off Target,9.0,Right Foot,,Reece James,Pass (Live),Raheem Sterling,Pass (Live),Liverpool,c18d3207
45+6,Axel Disasi,Chelsea,0.06,,Off Target,11.0,Head,,Enzo Fernández,Pass (Dead),Enzo Fernández,Fouled,Liverpool,c18d3207
47,Luis Diaz,Liverpool,0.11,,Off Target,13.0,Right Foot,,Dominik Szoboszlai,Pass (Live),nan,nan,Chelsea,c18d3207
49,Luis Diaz,Liverpool,0.05,,Off Target,15.0,Right Foot,Volley,Virgil van Dijk,Pass (Live),Trent Alexander-Arnold,Pass (Live),Chelsea,c18d3207
49,Virgil van Dijk,Liverpool,0.03,,Off Target,23.0,Right Foot,,Diogo Jota,Pass (Live),Luis Díaz,Shot,Chelsea,c18d3207
53,Luis Diaz,Liverpool,0.17,,Blocked,4.0,Head,,Dominik Szoboszlai,Pass (Dead),Luis Díaz,Pass (Live),Chelsea,c18d3207
54,Dominik Szoboszlai,Liverpool,0.02,,Blocked,26.0,Right Foot,,Andrew Robertson,Pass (Live),nan,nan,Chelsea,c18d3207
55,Ben Chilwell,Chelsea,0.16,0.17,Saved,13.0,Left Foot,,Enzo Fernández,Pass (Live),Raheem Sterling,Pass (Live),Liverpool,c18d3207
62,Reece James,Chelsea,0.03,,Off Target,32.0,Right Foot,Free kick,Ben Chilwell,Fouled,Carney Chukwuemeka,Pass (Live),Liverpool,c18d3207
65,Levi Colwill,Chelsea,0.08,,Blocked,16.0,Left Foot,,Thiago Silva,Pass (Live),Carney Chukwuemeka,Pass (Live),Liverpool,c18d3207
71,Nicolas Jackson,Chelsea,0.24,0.18,Saved,11.0,Left Foot,,Levi Colwill,Pass (Live),nan,nan,Liverpool,c18d3207
82,Darwin Nunez,Liverpool,0.02,,Blocked,26.0,Left Foot,,Harvey Elliott,Pass (Live),Darwin Núñez,Pass (Live),Chelsea,c18d3207
90+3,Darwin Nunez,Liverpool,0.01,,Blocked,27.0,Right Foot,,Virgil van Dijk,Pass (Live),Alisson,Pass (Live),Chelsea,c18d3207
3,Matheus Cunha,Wolves,0.01,,Blocked,29.0,Right Foot,,Nélson Semedo,Pass (Live),Mario Lemina,Pass (Live),Manchester Utd,f1ecda2c
11,Marcus Rashford,Manchester Utd,0.18,0.11,Saved,16.0,Right Foot,,Antony,Pass (Live),Casemiro,Pass (Live),Wolves,f1ecda2c
13,Alejandro Garnacho,Manchester Utd,0.01,,Blocked,23.0,Right Foot,,Bruno Fernandes,Interception,nan,nan,Wolves,f1ecda2c
18,Joao Gomes,Wolves,0.01,,Blocked,13.0,Head,,Pedro Neto,Pass (Dead),Pedro Neto,Fouled,Manchester Utd,f1ecda2c
26,Pablo Sarabia,Wolves,0.06,,Blocked,17.0,Left Foot,,Matheus Cunha,Pass (Live),Matheus Cunha,Take-On,Manchester Utd,f1ecda2c
27,Mario Lemina,Wolves,0.01,,Blocked,35.0,Right Foot,,Matheus Nunes,Pass (Live),Pablo Sarabia,Pass (Live),Manchester Utd,f1ecda2c
33,Matheus Cunha,Wolves,0.19,,Off Target,14.0,Right Foot,,Pablo Sarabia,Pass (Live),Matheus Cunha,Pass (Live),Manchester Utd,f1ecda2c
38,Marcus Rashford,Manchester Utd,0.14,,Blocked,10.0,Head,,Aaron Wan-Bissaka,Pass (Live),Bruno Fernandes,Pass (Live),Wolves,f1ecda2c
38,Bruno Fernandes,Manchester Utd,0.02,,Blocked,32.0,Left Foot,,Antony,Pass (Live),Raphaël Varane,Pass (Live),Wolves,f1ecda2c
42,Alejandro Garnacho,Manchester Utd,0.04,,Off Target,16.0,Left Foot,,Lisandro Martínez,Pass (Live),Lisandro Martínez,Tackle,Wolves,f1ecda2c
45+1,Antony,Manchester Utd,0.05,,Blocked,13.0,Right Foot,,Aaron Wan-Bissaka,Pass (Live),Mason Mount,Pass (Live),Wolves,f1ecda2c
45+2,Marcus Rashford,Manchester Utd,0.06,,Blocked,14.0,Right Foot,,Antony,Pass (Live),nan,nan,Wolves,f1ecda2c
45+2,Raphael Varane,Manchester Utd,0.17,,Off Target,9.0,Head,,Bruno Fernandes,Pass (Dead),Marcus Rashford,Shot,Wolves,f1ecda2c
46,Pedro Neto,Wolves,0.01,0.16,Saved,11.0,Right Foot,,Pablo Sarabia,Pass (Live),Pedro Neto,Pass (Live),Manchester Utd,f1ecda2c
49,Pedro Neto,Wolves,0.5,,Off Target,10.0,Right Foot,,Pablo Sarabia,Pass (Live),Matheus Nunes,Pass (Live),Manchester Utd,f1ecda2c
49,Matheus Cunha,Wolves,0.24,,Woodwork,4.0,Right Foot,,Pedro Neto,Shot,nan,nan,Manchester Utd,f1ecda2c
51,Antony,Manchester Utd,0.08,,Blocked,16.0,Left Foot,,Bruno Fernandes,Pass (Live),Alejandro Garnacho,Pass (Live),Wolves,f1ecda2c
52,Alejandro Garnacho,Manchester Utd,0.03,,Blocked,16.0,Left Foot,,Casemiro,Pass (Live),Antony,Pass (Live),Wolves,f1ecda2c
53,Antony,Manchester Utd,0.05,,Blocked,12.0,Left Foot,,Casemiro,Pass (Live),Raphaël Varane,Pass (Live),Wolves,f1ecda2c
55,Matheus Cunha,Wolves,0.07,0.16,Saved,26.0,Right Foot,,João Gomes,Pass (Live),João Gomes,Tackle,Manchester Utd,f1ecda2c
59,Craig Dawson,Wolves,0.06,,Blocked,9.0,Right Foot,,João Gomes,Pass (Live),nan,nan,Manchester Utd,f1ecda2c
59,Alejandro Garnacho,Manchester Utd,0.04,,Off Target,21.0,Left Foot,,Bruno Fernandes,Pass (Live),Alejandro Garnacho,Pass (Live),Wolves,f1ecda2c
64,Matheus Cunha,Wolves,0.07,,Off Target,10.0,Head,,Pedro Neto,Pass (Dead),Hwang Hee-chan,Fouled,Manchester Utd,f1ecda2c
67,Hwang Hee-chan,Wolves,0.04,,Off Target,24.0,Right Foot,,Hwang Hee-chan,Take-On,Rayan Aït Nouri,Pass (Dead),Manchester Utd,f1ecda2c
72,Pedro Neto,Wolves,0.37,0.1,Saved,14.0,Left Foot,,Matheus Cunha,Pass (Live),Matheus Cunha,Interception,Manchester Utd,f1ecda2c
76,Raphael Varane,Manchester Utd,0.83,0.74,Goal,4.0,Head,,Aaron Wan-Bissaka,Pass (Live),Bruno Fernandes,Pass (Live),Wolves,f1ecda2c
81,Hwang Hee-chan,Wolves,0.11,,Off Target,15.0,Right Foot,Volley,Pedro Neto,Pass (Live),Nélson Semedo,Pass (Live),Manchester Utd,f1ecda2c
82,Marcus Rashford,Manchester Utd,0.05,,Blocked,15.0,Left Foot,,Jadon Sancho,Pass (Live),nan,nan,Wolves,f1ecda2c
83,Fabio Silva,Wolves,0.08,0.14,Saved,6.0,Right Foot,,nan,nan,nan,nan,Manchester Utd,f1ecda2c
84,Fabio Silva,Wolves,0.07,0.04,Saved,11.0,Right Foot,,João Gomes,Tackle,João Gomes,Take-On,Manchester Utd,f1ecda2c
85,Facundo Pellistri,Manchester Utd,0.44,,Off Target,4.0,Right Foot,Volley,Bruno Fernandes,Pass (Live),Jadon Sancho,Interception,Wolves,f1ecda2c
88,Max Kilman,Wolves,0.03,0.18,Saved,9.0,Head,,Matheus Nunes,Pass (Dead),João Gomes,Fouled,Manchester Utd,f1ecda2c
90,Fabio Silva,Wolves,0.13,,Blocked,9.0,Right Foot,,Hwang Hee-chan,Pass (Live),Max Kilman,Pass (Live),Manchester Utd,f1ecda2c
90+4,Hwang Hee-chan,Wolves,0.06,,Blocked,14.0,Left Foot,,Fábio Silva,Pass (Live),Nélson Semedo,Pass (Live),Manchester Utd,f1ecda2c
90+4,Mario Lemina,Wolves,0.03,,Blocked,24.0,Right Foot,,Max Kilman,Pass (Live),Hwang Hee-chan,Pass (Live),Manchester Utd,f1ecda2c
90+5,Mario Lemina,Wolves,0.06,,Blocked,17.0,Right Foot,,Nélson Semedo,Pass (Live),Hugo Bueno,Pass (Live),Manchester Utd,f1ecda2c
90+5,Hugo Bueno,Wolves,0.04,,Blocked,23.0,Right Foot,,Hugo Bueno,Take-On,Mario Lemina,Shot,Manchester Utd,f1ecda2c
90+6,Hwang Hee-chan,Wolves,0.11,,Off Target,10.0,Head,,Hugo Bueno,Pass (Live),Mario Lemina,Pass (Live),Manchester Utd,f1ecda2c
3.0,Taiwo Awoniyi,Nott'ham Forest,0.29,0.77,Goal,7.0,Head,,Serge Aurier,Pass (Live),Brennan Johnson,Pass (Live),Sheffield Utd,a0a93f71
14.0,Morgan Gibbs-White,Nott'ham Forest,0.04,0.32,Saved,23.0,Right Foot,,Taiwo Awoniyi,Pass (Live),Morgan Gibbs-White,Pass (Live),Sheffield Utd,a0a93f71
16.0,Scott McKenna,Nott'ham Forest,0.19,,Off Target,6.0,Head,,Joe Worrall,Pass (Live),Morgan Gibbs-White,Pass (Live),Sheffield Utd,a0a93f71
31.0,Brennan Johnson,Nott'ham Forest,0.02,,Blocked,19.0,Left Foot,,Morgan Gibbs-White,Pass (Live),Orel Mangala,Pass (Live),Sheffield Utd,a0a93f71
32.0,Willy Boly,Nott'ham Forest,0.11,,Off Target,8.0,Head,,Morgan Gibbs-White,Pass (Dead),Brennan Johnson,Shot,Sheffield Utd,a0a93f71
34.0,Vinicius Souza,Sheffield Utd,0.02,0.45,Saved,29.0,Right Foot,,Anel Ahmedhodžić,Pass (Live),Gustavo Hamer,Pass (Live),Nott'ham Forest,a0a93f71
40.0,Brennan Johnson,Nott'ham Forest,0.03,,Blocked,22.0,Right Foot,,Serge Aurier,Pass (Live),nan,nan,Sheffield Utd,a0a93f71
43.0,Joe Worrall,Nott'ham Forest,0.07,,Off Target,9.0,Head,,Morgan Gibbs-White,Pass (Dead),nan,nan,Sheffield Utd,a0a93f71
43.0,Serge Aurier,Nott'ham Forest,0.01,,Off Target,11.0,Head,,Joe Worrall,Shot,nan,nan,Sheffield Utd,a0a93f71
45.0,Morgan Gibbs-White,Nott'ham Forest,0.03,,Off Target,24.0,Right Foot,,Morgan Gibbs-White,Take-On,Neco Williams,Pass (Live),Sheffield Utd,a0a93f71
46.0,Anel Ahmedhodzic,Sheffield Utd,0.07,,Blocked,13.0,Right Foot,Volley,Oliver Norwood,Pass (Live),Yasser Larouci,Pass (Live),Nott'ham Forest,a0a93f71
48.0,Gustavo Hamer,Sheffield Utd,0.02,0.46,Goal,21.0,Right Foot,,Anel Ahmedhodžić,Shot,nan,nan,Nott'ham Forest,a0a93f71
51.0,Jack Robinson,Sheffield Utd,0.03,,Off Target,18.0,Left Foot,,Vinicius Souza,Tackle,nan,nan,Nott'ham Forest,a0a93f71
52.0,Vinicius Souza,Sheffield Utd,0.03,,Off Target,29.0,Right Foot,,William Osula,Pass (Live),Vinicius Souza,Interception,Nott'ham Forest,a0a93f71
62.0,Danilo,Nott'ham Forest,0.03,,Off Target,29.0,Left Foot,,Taiwo Awoniyi,Pass (Live),Serge Aurier,Pass (Live),Sheffield Utd,a0a93f71
65.0,Willy Boly,Nott'ham Forest,0.26,0.88,Saved,4.0,Right Foot,Deflected,Morgan Gibbs-White,Pass (Dead),nan,nan,Sheffield Utd,a0a93f71
69.0,William Osula,Sheffield Utd,0.05,,Off Target,6.0,Head,,Gustavo Hamer,Pass (Dead),Jack Robinson,Pass (Live),Nott'ham Forest,a0a93f71
71.0,Danilo,Nott'ham Forest,0.1,,Blocked,21.0,Right Foot,,Taiwo Awoniyi,Pass (Live),Brennan Johnson,Pass (Live),Sheffield Utd,a0a93f71
71.0,Anthony Elanga,Nott'ham Forest,0.03,,Blocked,22.0,Right Foot,,Danilo,Pass (Live),Morgan Gibbs-White,Pass (Live),Sheffield Utd,a0a93f71
72.0,Neco Williams,Nott'ham Forest,0.02,,Blocked,24.0,Right Foot,,Danilo,Pass (Live),Anthony Elanga,Shot,Sheffield Utd,a0a93f71
73.0,Joe Worrall,Nott'ham Forest,0.04,,Off Target,12.0,Head,,Morgan Gibbs-White,Pass (Dead),Morgan Gibbs-White,Fouled,Sheffield Utd,a0a93f71
78.0,Benie Adama Traore,Sheffield Utd,0.27,0.62,Saved,15.0,Right Foot,,nan,nan,nan,nan,Nott'ham Forest,a0a93f71
89.0,Chris Wood,Nott'ham Forest,0.12,0.08,Goal,9.0,Head,,Serge Aurier,Pass (Live),Joe Worrall,Pass (Live),Sheffield Utd,a0a93f71
3,Yoane Wissa,Brentford,0.01,,Off Target,13.0,Right Foot,Volley,Mathias Jensen,Fouled,Rico Henry,Pass (Live),Fulham,46be83af
6,Issa Diop,Fulham,0.11,,Off Target,10.0,Right Foot,Volley,Raúl Jiménez,Tackle,nan,nan,Brentford,46be83af
9,Andreas Pereira,Fulham,0.02,,Off Target,38.0,Right Foot,,nan,nan,nan,nan,Brentford,46be83af
15,Bryan Mbeumo,Brentford,0.11,0.05,Saved,10.0,Left Foot,Volley,Mathias Jensen,Pass (Live),Aaron Hickey,Pass (Live),Fulham,46be83af
19,Mathias Jensen,Brentford,0.03,,Off Target,48.0,Right Foot,Free kick,Kevin Schade,Fouled,Christian Nørgaard,Interception,Fulham,46be83af
22,Issa Diop,Fulham,0.02,,Blocked,27.0,Right Foot,,Harry Wilson,Fouled,Harrison Reed,Pass (Live),Brentford,46be83af
24,Christian Norgaard,Brentford,0.02,,Off Target,12.0,Head,,Mathias Jensen,Pass (Dead),Aaron Hickey,Fouled,Fulham,46be83af
24,Yoane Wissa,Brentford,0.13,0.31,Saved,8.0,Head,Deflected,Christian Nørgaard,Shot,nan,nan,Fulham,46be83af
28,Yoane Wissa,Brentford,0.04,0.22,Saved,26.0,Right Foot,,nan,nan,nan,nan,Fulham,46be83af
34,Bobby Reid,Fulham,0.01,,Blocked,26.0,Right Foot,,Harrison Reed,Pass (Live),Bobby Reid,Pass (Live),Brentford,46be83af
38,Yoane Wissa,Brentford,0.09,,Off Target,9.0,Left Foot,,Bryan Mbeumo,Pass (Live),Vitaly Janelt,Pass (Live),Fulham,46be83af
44,Yoane Wissa,Brentford,0.31,0.69,Goal,15.0,Right Foot,,nan,nan,nan,nan,Fulham,46be83af
46,Nathan Collins,Brentford,0.12,,Off Target,4.0,Head,,Mathias Jensen,Pass (Dead),nan,nan,Fulham,46be83af
50,Raul Jimenez,Fulham,0.03,,Blocked,24.0,Right Foot,,Antonee Robinson,Pass (Live),Andreas Pereira,Pass (Live),Brentford,46be83af
53,Bobby Reid,Fulham,0.14,,Woodwork,16.0,Left Foot,,Harrison Reed,Pass (Live),Kenny Tete,Pass (Live),Brentford,46be83af
54,Mathias Jensen,Brentford,0.06,0.05,Saved,18.0,Right Foot,Volley,Vitaly Janelt,Pass (Live),Aaron Hickey,Pass (Live),Fulham,46be83af
58,Harry Wilson,Fulham,0.03,0.09,Saved,28.0,Left Foot,,Antonee Robinson,Pass (Live),nan,nan,Brentford,46be83af
62,Yoane Wissa,Brentford,0.27,,Blocked,6.0,Right Foot,,Ethan Pinnock,Pass (Live),Mathias Jensen,Pass (Dead),Fulham,46be83af
66,Bryan Mbeumo (pen),Brentford,0.79,1.0,Goal,13.0,Left Foot,,Yoane Wissa,Fouled,Kevin Schade,Pass (Live),Fulham,46be83af
69,Raul Jimenez,Fulham,0.02,,Blocked,17.0,Right Foot,,Harry Wilson,Pass (Live),Issa Diop,Pass (Live),Brentford,46be83af
75,Yoane Wissa,Brentford,0.56,,Off Target,4.0,Head,,Ethan Pinnock,Shot,nan,nan,Fulham,46be83af
75,Ethan Pinnock,Brentford,0.04,,Off Target,9.0,Head,,Mathias Jensen,Pass (Dead),Bryan Mbeumo,Pass (Live),Fulham,46be83af
82,Willian,Fulham,0.07,,Off Target,27.0,Right Foot,Free kick,Harry Wilson,Fouled,João Palhinha,Pass (Live),Brentford,46be83af
