team,minute,score,player1,player2,event_type,game_id
Everton,79,2:0,Beto,Amadou Onana,substitute_in,849071fe
Manchester United,57,0:0,Marcus Rashford,Rasmus Højlund,substitute_in,328777ed
Manchester United,73,1:0,Facundo Pellistri,Antony,substitute_in,328777ed
Manchester United,84,2:0,Sergio Reguilón,Willy Kambwala,substitute_in,328777ed
Manchester United,85,2:0,Christian Eriksen,Alejandro Garnacho,substitute_in,328777ed
West Ham United,88,2:0,Pablo Fornals,Jarrod Bowen,substitute_in,328777ed
West Ham United,90+4,2:0,Ben Johnson,Kudus Mohammed,substitute_in,328777ed
Chelsea,59,1:0,Mykhailo Mudryk,Armando Broja,substitute_in,8c0b314c
Chelsea,59,1:0,Christopher Nkunku,Lesley Ugochukwu,substitute_in,8c0b314c
Wolverhampton Wanderers,70,1:0,Santiago Bueno,Craig Dawson,substitute_in,8c0b314c
Wolverhampton Wanderers,75,1:0,Tommy Doyle,Pablo Sarabia,substitute_in,8c0b314c
Chelsea,79,1:0,Ian Maatsen,Levi Colwill,substitute_in,8c0b314c
Chelsea,80,1:0,Benoît Badiashile,Malo Gusto,substitute_in,8c0b314c
Chelsea,80,1:0,Noni Madueke,Nicolas Jackson,substitute_in,8c0b314c
Wolverhampton Wanderers,86,1:0,Matt Doherty,Matheus Cunha,substitute_in,8c0b314c
Wolverhampton Wanderers,87,1:0,Hugo Bueno,Rayan Aït Nouri,substitute_in,8c0b314c
Burnley,61,0:1,Jóhann Berg Guðmundsson,Mike Trésor,substitute_in,c0904954
Liverpool,66,0:1,Curtis Jones,Ryan Gravenberch,substitute_in,c0904954
Liverpool,67,0:1,Dominik Szoboszlai,Cody Gakpo,substitute_in,c0904954
Liverpool,67,0:1,Luis Díaz,Harvey Elliott,substitute_in,c0904954
Liverpool,84,0:1,Diogo Jota,Darwin Núñez,substitute_in,c0904954
Burnley,85,0:1,Jacob Bruun Larsen,Zeki Amdouni,substitute_in,c0904954
Burnley,85,0:1,Nathan Redmond,Lyle Foster,substitute_in,c0904954
Burnley,90+2,0:2,Aaron Ramsey,Josh Brownhill,substitute_in,c0904954
Aston Villa,50,0:2,Álex Moreno,Lucas Digne,substitute_in,83709fdf
Aston Villa,77,2:2,Moussa Diaby,Jacob Ramsey,substitute_in,83709fdf
Aston Villa,77,2:2,Nicolò Zaniolo,Leon Bailey,substitute_in,83709fdf
Manchester United,80,2:2,Antony,Marcus Rashford,substitute_in,83709fdf
Manchester United,81,2:2,Scott McTominay,Kobbie Mainoo,substitute_in,83709fdf
Aston Villa,86,3:2,Jhon Durán,John McGinn,substitute_in,83709fdf
Aston Villa,86,3:2,Tim Iroegbunam,Leander Dendoncker,substitute_in,83709fdf
Manchester United,89,3:2,Willy Kambwala,Rasmus Højlund,substitute_in,83709fdf
Manchester United,90+4,3:2,Daniel Gore,Christian Eriksen,substitute_in,83709fdf
Manchester United,90+5,3:2,Hannibal Mejbri,Alejandro Garnacho,substitute_in,83709fdf
Wolverhampton Wanderers,45+7,1:3,Jean-Ricner Bellegarde,Hwang Hee-chan,substitute_in,ea28d527
Brentford,46,1:3,Mikkel Damsgaard,Yehor Yarmoliuk,substitute_in,ea28d527
Wolverhampton Wanderers,64,1:3,Matt Doherty,Nélson Semedo,substitute_in,ea28d527
Wolverhampton Wanderers,65,1:3,Tommy Doyle,Pablo Sarabia,substitute_in,ea28d527
Brentford,67,1:3,Mathias Jensen,Mads Roerslev,substitute_in,ea28d527
Wolverhampton Wanderers,80,1:4,Hugo Bueno,Rayan Aït Nouri,substitute_in,ea28d527
Brentford,86,1:4,Michael Olakigbe,Yoane Wissa,substitute_in,ea28d527
Brentford,86,1:4,Myles Peart-Harris,Keane Lewis-Potter,substitute_in,ea28d527
West Ham United,33,0:1,Saïd Benrahma,Lucas Paquetá,substitute_in,ba570015
Arsenal,64,0:2,Eddie Nketiah,Gabriel Martinelli,substitute_in,ba570015
Arsenal,64,0:2,Reiss Nelson,Oleksandr Zinchenko,substitute_in,ba570015
Arsenal,79,0:2,Emile Smith Rowe,Leandro Trossard,substitute_in,ba570015
Manchester United,46,0:0,Scott McTominay,Kobbie Mainoo,substitute_in,1aa68cba
Manchester United,54,0:0,Amad Diallo,Antony,substitute_in,1aa68cba
Nottingham Forest,74,1:0,Neco Williams,Gonzalo Montiel,substitute_in,1aa68cba
Nottingham Forest,79,1:1,Callum Hudson-Odoi,Nicolás Domínguez,substitute_in,1aa68cba
Nottingham Forest,87,2:1,Harry Toffolo,Ola Aina,substitute_in,1aa68cba
Nottingham Forest,87,2:1,Orel Mangala,Danilo,substitute_in,1aa68cba
Nottingham Forest,87,2:1,Willy Boly,Anthony Elanga,substitute_in,1aa68cba
Manchester United,90,2:1,Sergio Reguilón,Aaron Wan-Bissaka,substitute_in,1aa68cba
Everton,63,3:0,André Gomes,Michael Keane,substitute_in,7dfc59ca
Everton,63,3:0,Séamus Coleman,Nathan Patterson,substitute_in,7dfc59ca
Wolverhampton Wanderers,73,3:0,Hugo Bueno,Rayan Aït Nouri,substitute_in,7dfc59ca
Everton,74,3:0,Arnaut Danjuma,Dwight McNeil,substitute_in,7dfc59ca
Everton,74,3:0,Beto,Dominic Calvert-Lewin,substitute_in,7dfc59ca
Wolverhampton Wanderers,80,3:0,Jean-Ricner Bellegarde,Pablo Sarabia,substitute_in,7dfc59ca
Wolverhampton Wanderers,80,3:0,Pedro Neto,Matheus Cunha,substitute_in,7dfc59ca
Wolverhampton Wanderers,85,3:0,Matt Doherty,Nélson Semedo,substitute_in,7dfc59ca
Wolverhampton Wanderers,85,3:0,Boubacar Traoré,João Gomes,substitute_in,7dfc59ca
Manchester City,52,1:0,Oscar Bobb,Jack Grealish,substitute_in,aefd7405
Sheffield United,67,2:0,Rhian Brewster,Anis Ben Slimane,substitute_in,aefd7405
Sheffield United,67,2:0,Cameron Archer,William Osula,substitute_in,aefd7405
Manchester City,68,2:0,Rico Lewis,Kyle Walker,substitute_in,aefd7405
Manchester City,68,2:0,Rúben Dias,Mateo Kovačić,substitute_in,aefd7405
Sheffield United,80,2:0,Ben Osborn,Andre Brooks,substitute_in,aefd7405
Sheffield United,90,2:0,Rhys Norrington-Davies,Luke Thomas,substitute_in,aefd7405
Brentford,63,3:1,Frank Onyeka,Mads Roerslev,substitute_in,e9d5dd9b
Brentford,63,3:1,Neal Maupay,Mathias Jensen,substitute_in,e9d5dd9b
Brentford,67,3:1,Mikkel Damsgaard,Christian Nørgaard,substitute_in,e9d5dd9b
Brentford,80,3:1,Yehor Yarmoliuk,Vitaly Janelt,substitute_in,e9d5dd9b
Brentford,80,3:1,Michael Olakigbe,Keane Lewis-Potter,substitute_in,e9d5dd9b
Crystal Palace,86,3:1,Will Hughes,Eberechi Eze,substitute_in,e9d5dd9b
Crystal Palace,86,3:1,Matheus França,Jean-Philippe Mateta,substitute_in,e9d5dd9b
Crystal Palace,90+2,3:1,Jeffrey Schlupp,Jordan Ayew,substitute_in,e9d5dd9b
Luton Town,46,0:2,Tahith Chong,Issa Kaboré,substitute_in,8e04572c
Luton Town,46,0:2,Chiedozie Ogbene,Jacob Brown,substitute_in,8e04572c
Luton Town,62,0:2,Carlton Morris,Andros Townsend,substitute_in,8e04572c
Chelsea,62,0:2,Christopher Nkunku,Armando Broja,substitute_in,8e04572c
Chelsea,81,1:3,Enzo Fernández,Noni Madueke,substitute_in,8e04572c
Chelsea,90+1,2:3,Alfie Gilchrist,Cole Palmer,substitute_in,8e04572c
Luton Town,90+4,2:3,Cauley Woodrow,Albert Sambi Lokonga,substitute_in,8e04572c
Arsenal,46,1:1,Takehiro Tomiyasu,Jakub Kiwior,substitute_in,6c1b6ffc
Arsenal,67,2:1,Leandro Trossard,Gabriel Martinelli,substitute_in,6c1b6ffc
Arsenal,67,2:1,Gabriel Jesus,Ben White,substitute_in,6c1b6ffc
Fulham,72,2:1,Andreas Pereira,Alex Iwobi,substitute_in,6c1b6ffc
Arsenal,77,2:1,Reiss Nelson,Kai Havertz,substitute_in,6c1b6ffc
Fulham,80,2:1,Harry Wilson,Bobby Reid,substitute_in,6c1b6ffc
Fulham,80,2:1,Issa Diop,Willian,substitute_in,6c1b6ffc
Fulham,90+3,2:1,Harrison Reed,Tom Cairney,substitute_in,6c1b6ffc
Tottenham Hotspur,32,1:0,Oliver Skipp,Pape Matar Sarr,substitute_in,3ab71352
Bournemouth,46,1:0,Max Aarons,Dango Ouattara,substitute_in,3ab71352
Tottenham Hotspur,58,1:0,Pierre Højbjerg,Rodrigo Bentancur,substitute_in,3ab71352
Bournemouth,61,1:0,Philip Billing,Justin Kluivert,substitute_in,3ab71352
Bournemouth,61,1:0,Antoine Semenyo,Luis Sinisterra,substitute_in,3ab71352
Bournemouth,69,1:0,Alex Scott,Ryan Christie,substitute_in,3ab71352
Tottenham Hotspur,82,3:0,Eric Dier,Giovani Lo Celso,substitute_in,3ab71352
Tottenham Hotspur,82,3:0,Alejo Véliz,Richarlison,substitute_in,3ab71352
Tottenham Hotspur,82,3:0,Bryan Gil,Brennan Johnson,substitute_in,3ab71352
Bournemouth,82,3:0,David Brooks,Adam Smith,substitute_in,3ab71352
Brighton & Hove Albion,67,0:0,Evan Ferguson,Danny Welbeck,substitute_in,d557afd0
West Ham United,73,0:0,Divin Mubama,Saïd Benrahma,substitute_in,d557afd0
Brighton & Hove Albion,74,0:0,Adam Lallana,Facundo Buonanotte,substitute_in,d557afd0
Brighton & Hove Albion,74,0:0,Jakub Moder,Adam Webster,substitute_in,d557afd0
Luton Town,64,1:0,Tahith Chong,Andros Townsend,substitute_in,d62dd931
Burnley,74,1:0,Connor Roberts,Jóhann Berg Guðmundsson,substitute_in,d62dd931
Luton Town,74,1:0,Carlton Morris,Jordan Clark,substitute_in,d62dd931
Burnley,83,1:0,Mike Trésor,Zeki Amdouni,substitute_in,d62dd931
Burnley,84,1:0,Jacob Bruun Larsen,Wilson Odobert,substitute_in,d62dd931
Luton Town,86,1:0,Luke Berry,Albert Sambi Lokonga,substitute_in,d62dd931
Burnley,90+5,1:1,Jack Cork,Hjalmar Ekdal,substitute_in,d62dd931
Manchester City,69,2:1,Kevin De Bruyne,Bernardo Silva,substitute_in,738f8c3e
Manchester City,8,0:0,Stefan Ortega,Ederson,substitute_in,738f8c3e
Manchester City,82,2:2,Oscar Bobb,Jeremy Doku,substitute_in,738f8c3e
Newcastle United,86,2:2,Lewis Hall,Anthony Gordon,substitute_in,738f8c3e
Everton,63,0:0,Beto,Dominic Calvert-Lewin,substitute_in,1628c63e
Everton,63,0:0,Dwight McNeil,Arnaut Danjuma,substitute_in,1628c63e
Aston Villa,64,0:0,Youri Tielemans,Moussa Diaby,substitute_in,1628c63e
Aston Villa,64,0:0,Jhon Durán,Leon Bailey,substitute_in,1628c63e
Aston Villa,74,0:0,Matty Cash,Diego Carlos,substitute_in,1628c63e
Aston Villa,89,0:0,Nicolò Zaniolo,John McGinn,substitute_in,1628c63e
Manchester United,58,2:2,Scott McTominay,Christian Eriksen,substitute_in,904ed2f9
Manchester United,63,2:2,Lisandro Martínez,Jonny Evans,substitute_in,904ed2f9
Tottenham Hotspur,80,2:2,Bryan Gil,Timo Werner,substitute_in,904ed2f9
Tottenham Hotspur,85,2:2,Radu Drăgușin,Oliver Skipp,substitute_in,904ed2f9
Manchester United,88,2:2,Antony,Marcus Rashford,substitute_in,904ed2f9
Tottenham Hotspur,89,2:2,Emerson,Micky van de Ven,substitute_in,904ed2f9
Nottingham Forest,62,2:1,Neco Williams,Ryan Yates,substitute_in,e0a9c631
Brentford,74,3:2,Shandon Baptiste,Mikkel Damsgaard,substitute_in,e0a9c631
Brentford,74,3:2,Sergio Reguilón,Neal Maupay,substitute_in,e0a9c631
Nottingham Forest,86,3:2,Brandon Aguilera,Gonzalo Montiel,substitute_in,e0a9c631
Brentford,90,3:2,Josh Dasilva,Keane Lewis-Potter,substitute_in,e0a9c631
Brentford,90,3:2,Kristoffer Ajer,Mads Roerslev,substitute_in,e0a9c631
Brentford,90+7,3:2,Yehor Yarmoliuk,Mathias Jensen,substitute_in,e0a9c631
